Date,State/UnionTerritory,Sector,GDP_Before_COVID,GDP_During_COVID,GDP_Loss_Percent,Unemployment_Rate_Before,Unemployment_Rate_During,Migration_Effect,Recovery_Factor,Govt_Support_Received,Sector_Impact_Score,Health_Index,Lockdown_Severity,Vaccination_Rate,Urban_Rural_Ratio,Inflation_Rate,Population_Affected,Recovery_Progress,Remarks
14-06-2022,Punjab,Mining,4404.46,3946.72,10.39,4.34,12.24916093,1,0.55,797.03,10,33.11,1,63.99,0.94,5.83,405.88,38.04,Medium Impact
14-07-2022,Odisha,Finance,91022.72,74161.8,18.52,7.67,19.56216683,0,0.73,797.03,8,76.66,1,22.68,0.57,4.68,459.54,49.92,Medium Impact
13-08-2022,Bihar,Mining,26619.22,16797.04,36.9,7.36,11.02829705,1,0.04,797.03,6,89.21,5,21.91,1.03,3.04,300.63,83.68,Low Impact
12-09-2022,Gujarat,Real Estate,66589.71,51318.67,22.93,7.22,9.686848199,1,0.01,797.03,2,52.55,5,86.26,0.93,4.29,366.07,32.33,High Impact
12-10-2022,West Bengal,Trade,31859.4,19981.49,37.28,6.43,16.22531682,1,0.46,797.03,2,36.63,5,89.38,1.99,7.2,29.24,37.78,Low Impact
11-11-2022,Goa,Agriculture,52486.73,38978.75,25.74,6.7,11.22586007,0,0.13,797.03,7,45.14,3,25.61,2.87,7.63,280.57,86.08,Low Impact
01-01-2019,Odisha,Construction,55124.32,40929.11,25.75,5.34,15.63643805,1,0.66,797.03,1,66.55,4,42.05,2.12,4.68,377.91,54.35,High Impact
31-01-2019,Karnataka,Trade,19300.59,12026.26,37.69,6.64,15.67936667,0,0.21,797.03,1,91.27,2,83.46,2.79,5.45,248.88,84.49,Medium Impact
02-03-2019,Tamil Nadu,Transport,96988.88,70034.43,27.79,4.38,15.83673537,0,0.43,797.03,7,63.3,2,77.1,2.4,3.22,297.18,43.7,Medium Impact
01-04-2019,Kerala,Agriculture,77738.15,49662.97,36.12,8.64,14.72927236,1,0.2,797.03,9,37.33,2,81.39,2.24,4.42,449.58,45.85,High Impact
01-05-2019,Karnataka,Transport,94010.4,83000.12,11.71,4.3,12.91969839,0,0.55,797.03,5,70.81,5,51.84,1.36,7.68,99.85,25.04,Medium Impact
31-05-2019,Telangana,Trade,89587.91,83468.23,6.83,3.59,10.23854781,0,0.12,797.03,1,77.63,5,91.15,1.11,6.64,50.03,92.47,Medium Impact
30-06-2019,Sikkim,Manufacturing,60192.1,37638.77,37.47,6.05,14.35588697,0,0.02,797.03,5,55.56,5,32.6,2.57,4.23,345.63,90.71,High Impact
30-07-2019,Telangana,Transport,92265.55,86202.81,6.57,7.61,14.10598906,1,0.05,797.03,1,76.9,3,15.67,2.74,4.54,411.6,98.58,High Impact
29-08-2019,Uttarakhand,Finance,9760.76,7641.72,21.71,6.06,9.946322464,0,0.95,797.03,10,51.11,3,70.87,1.47,7.9,425.39,46.22,Medium Impact
28-09-2019,Bihar,Finance,20402.3,14380.52,29.52,4.94,12.01897416,0,0.14,797.03,9,81.29,3,53.94,0.23,4.25,321.18,83.68,Low Impact
28-10-2019,Nagaland,Real Estate,5477.5,3433.85,37.31,6.91,14.19584201,1,0.71,797.03,4,52.17,3,85.46,2.42,5,416.77,47.35,Medium Impact
27-11-2019,Uttar Pradesh,Finance,33207.7,25743.22,22.48,5.43,15.53603848,1,0.07,797.03,9,46.65,1,8.12,1,6.99,350.63,50.89,High Impact
27-12-2019,Meghalaya,Transport,39479.05,34665.78,12.19,9.53,18.88520706,0,0.11,797.03,2,87.15,3,84.37,0.23,6.37,44.6,84.7,Low Impact
26-01-2020,Haryana,Services,27863.55,23613.81,15.25,9.46,18.09791624,0,0.51,797.03,7,65.65,3,29.33,2.45,5.77,381.26,25.96,Low Impact
25-02-2020,Assam,Real Estate,83045.01,51286.86,38.24,6.52,9.653870956,0,0.46,797.03,2,48.54,3,65.49,1.65,8.4,90.5,29.83,Low Impact
26-03-2020,Karnataka,Real Estate,36318.58,22717.84,37.45,5.3,14.50616291,0,0.95,797.03,4,90.78,2,4.01,2.12,4.32,119.07,38.33,Low Impact
25-04-2020,Kerala,Transport,28812.52,21350.24,25.9,8.16,15.16305156,1,0.94,797.03,6,74.91,2,60.96,2.76,7.45,197.93,80.94,Low Impact
25-05-2020,Tamil Nadu,Mining,54726.91,38492.26,29.66,3.26,14.20099536,1,0.78,797.03,2,44.35,2,71.73,1.72,3.95,157.97,43.54,Low Impact
24-06-2020,Assam,Trade,14951.5,10186.97,31.87,6.32,17.51870934,0,0.6,797.03,2,69.95,4,36.88,1.61,6.69,161.5,42.24,Low Impact
24-07-2020,Andhra Pradesh,Manufacturing,80417.5,56159.69,30.16,5.35,7.901565906,1,0.45,797.03,2,86.57,1,21.54,1.01,8.22,85.46,99.89,High Impact
23-08-2020,Arunachal Pradesh,Finance,8380.51,7385.06,11.88,9.44,19.6464156,0,0.36,797.03,3,75.25,5,53.76,1.05,5.75,147.64,44.54,Low Impact
22-09-2020,Himachal Pradesh,Manufacturing,98701.81,91321.86,7.48,3.08,5.456973904,1,0.95,797.03,5,45.91,3,83.32,2.43,7.35,10.81,32.3,Medium Impact
22-10-2020,Uttarakhand,Finance,77452.23,57452.98,25.82,6.87,12.54169626,1,0.6,797.03,9,72.18,2,32.35,1.46,7.92,236.98,66.09,Low Impact
21-11-2020,Sikkim,Public Administration,20672.85,18959.87,8.29,8.18,15.60299976,0,0.58,797.03,6,70.25,1,25.25,0.66,3.82,384.53,82.17,Low Impact
21-12-2020,Telangana,Services,1546.69,1102.05,28.75,6.4,9.881007986,0,0.23,797.03,9,83.35,3,27.89,0.46,7.23,431.26,16.26,Low Impact
20-01-2021,Jharkhand,Mining,81730.68,62667.24,23.32,3.6,13.06313813,0,0.05,797.03,10,41.58,4,94.91,1.52,8.52,410.39,65.7,Low Impact
19-02-2021,West Bengal,Trade,70978.88,48202.48,32.09,9.81,11.89354704,0,0.95,797.03,5,75.48,5,35.93,1.5,6.46,208.81,13.22,Low Impact
21-03-2021,Manipur,Transport,73171.71,60305.68,17.58,6.63,10.31599048,1,0.31,797.03,6,31.78,3,0.36,2.03,4.12,365.48,57.37,High Impact
20-04-2021,Tamil Nadu,Manufacturing,77355.76,72918.9,5.74,7.3,15.1079683,1,0.44,797.03,10,75.25,5,78.17,1.52,3.76,144.66,33.13,Medium Impact
20-05-2021,Uttar Pradesh,Manufacturing,8330.42,6757.82,18.88,4.66,13.80387562,0,0.11,797.03,8,92.43,3,69.93,0.6,4.56,28.73,37.6,Low Impact
19-06-2021,Tripura,Transport,36488.11,26462.45,27.48,6.38,17.54643103,1,0.84,797.03,3,41.34,4,12.86,1.62,3.62,338.31,52.04,Low Impact
19-07-2021,Madhya Pradesh,Trade,12471.04,10310.26,17.33,6,15.05496652,1,0.03,797.03,2,50.23,1,98.49,2.74,6.08,324.75,93.44,High Impact
18-08-2021,Goa,Trade,86447.24,55587.5,35.7,3.52,12.2377927,0,0.83,797.03,3,67.89,5,60.81,0.65,3.42,401.01,73.96,Medium Impact
17-09-2021,Andhra Pradesh,Real Estate,62706.51,57127.55,8.9,3.74,9.683411464,0,0.14,797.03,9,77.61,5,50.08,2.13,4.34,308.44,94.32,Medium Impact
17-10-2021,Tamil Nadu,Public Administration,33758.9,26199.59,22.39,8.86,10.87284426,1,0.89,797.03,6,52.38,1,38.22,1.86,5.64,79.29,69.4,Low Impact
16-11-2021,Sikkim,Finance,7292.28,5522.24,24.27,4.68,7.881592587,0,0.73,797.03,10,73.18,5,89.87,2.3,5.84,426.73,10.64,Low Impact
16-12-2021,Madhya Pradesh,Services,31787.25,25590.41,19.49,4.36,11.70554545,0,0.16,797.03,4,88.45,2,24.4,0.62,6.39,314,33.9,Low Impact
15-01-2022,Sikkim,Real Estate,33193.15,27174.38,18.13,6.53,15.28129886,1,0.57,797.03,10,77.23,1,28.58,2.84,7.23,404,91.52,Medium Impact
14-02-2022,Karnataka,Transport,73231.01,45778.28,37.49,8.38,14.55448284,1,0.31,797.03,3,76.22,4,12.24,1.94,3.28,387.28,67.91,High Impact
16-03-2022,Kerala,Real Estate,64118.19,53789.78,16.11,3.43,12.73679012,0,0.18,797.03,2,54.83,3,75.91,2.57,3.48,149.63,98.35,Low Impact
15-04-2022,Bihar,Agriculture,88834.06,60822.56,31.53,7.04,14.25862295,1,0.86,797.03,4,89.24,3,59.55,0.89,3.37,38.2,24.04,Low Impact
15-05-2022,Haryana,Transport,47749.28,40581.32,15.01,3.83,6.571761956,0,0.4,797.03,9,48.03,1,60.91,2.27,5.54,89.08,36.71,High Impact
14-06-2022,Himachal Pradesh,Public Administration,12839.83,11400.32,11.21,3.26,7.18016251,0,0.4,797.03,4,43.34,2,21.85,2.39,3.25,47.34,42.61,High Impact
14-07-2022,Arunachal Pradesh,Finance,71611.23,63117.1,11.86,3.37,13.76998223,1,0.17,797.03,5,53.67,4,65.12,1.31,7.48,122.46,39.39,Low Impact
13-08-2022,Telangana,Trade,76317.72,60548.6,20.66,8.84,18.08912747,1,0.38,797.03,8,72.26,3,76.55,1.28,4.34,230.31,32.68,High Impact
12-09-2022,Rajasthan,Agriculture,56566.44,44238.32,21.79,3.83,14.77761987,0,0.87,797.03,2,86.01,3,35.79,2.04,8.64,453.5,49.91,Low Impact
12-10-2022,Telangana,Manufacturing,77325.75,50262.25,35,3.32,6.495572491,0,0.36,797.03,3,38.59,2,80.13,0.46,5.92,436.14,67.81,Medium Impact
11-11-2022,Telangana,Finance,49885.76,43469.01,12.86,6.07,17.97222535,0,0.95,797.03,6,82.9,5,34.88,2.26,5.68,359.58,38.01,Medium Impact
01-01-2019,West Bengal,Transport,52750.55,36661.28,30.5,8.91,13.00406714,1,0.95,797.03,7,82.83,1,75.81,0.32,7.68,13.03,17.17,High Impact
31-01-2019,Tripura,Mining,43326.56,33527.97,22.62,4.84,6.957798763,0,0.14,797.03,4,68.15,2,3.37,0.73,7.28,171.35,73.77,High Impact
02-03-2019,Bihar,Services,3516.49,2459.77,30.05,5.95,17.92422939,1,0.18,797.03,1,79.44,2,55.12,2.06,6.64,341.49,51.31,Medium Impact
01-04-2019,Manipur,Agriculture,11681.25,7555.9,35.32,3.28,8.090738854,0,0.86,797.03,7,41.82,2,96.95,0.48,8.61,65.39,60.08,Medium Impact
01-05-2019,Tripura,Services,4111.49,3372.84,17.97,6.14,14.82019453,1,0.39,797.03,9,41.02,2,98.12,2.92,5.53,400.74,50.99,High Impact
31-05-2019,Himachal Pradesh,Public Administration,64004.63,39619.9,38.1,7.04,10.80682314,0,0,797.03,1,86.08,5,28.18,2.63,7.85,457.37,90.13,Medium Impact
30-06-2019,Tamil Nadu,Real Estate,32121.24,27689.34,13.8,7,14.80228532,1,0.27,797.03,1,62.38,4,44.14,1.95,5.28,177.7,60.29,Medium Impact
30-07-2019,Uttarakhand,Agriculture,51348.5,36516.76,28.88,5.33,16.37034986,0,0.6,797.03,1,45.99,2,6.3,2.49,8.03,353.22,93.09,High Impact
29-08-2019,Himachal Pradesh,Services,90849.08,54513.73,40,5.21,10.41181167,0,0.8,797.03,10,74.77,2,87.33,2.69,4.56,74.95,55.95,Low Impact
28-09-2019,Rajasthan,Manufacturing,25679.93,20001.97,22.11,3.75,12.45253976,0,0.13,797.03,7,87.97,1,56.86,0.93,4.74,345.72,36.33,High Impact
28-10-2019,Assam,Construction,41627.91,25659.37,38.36,5.57,9.449035888,0,0.11,797.03,9,71.1,3,38.51,2.58,7.07,11.71,41.99,Low Impact
27-11-2019,Meghalaya,Transport,75799.56,52806.47,30.33,3.7,11.94795399,1,0.92,797.03,3,52.58,5,11.28,0.75,4.28,76.23,56.99,Low Impact
27-12-2019,Madhya Pradesh,Transport,23651.02,20042.86,15.26,8.37,13.73450352,1,0.75,797.03,8,61.41,2,94.68,1.36,4.37,355.23,57.7,Medium Impact
26-01-2020,Rajasthan,Finance,8621.01,5361.76,37.81,9.76,13.87208259,1,0.59,797.03,9,78.9,4,53.02,1.76,4.83,356.21,71.86,Medium Impact
25-02-2020,Haryana,Public Administration,29685.39,26531.87,10.62,9.79,14.92182051,1,0.77,797.03,3,34.39,4,28.29,2.2,7.07,320.94,30.2,High Impact
26-03-2020,Kerala,Agriculture,16960.91,10199.22,39.87,9.06,12.84841069,1,0.43,797.03,3,44.12,4,35.02,0.28,8.34,239.2,69.3,High Impact
25-04-2020,Bihar,Public Administration,93040.07,63861.62,31.36,7.21,18.22916108,0,0.76,797.03,1,60.07,1,27.07,1.01,7.05,337.78,80.07,Medium Impact
25-05-2020,Himachal Pradesh,Services,81003.92,69608,14.07,7.91,13.88186886,1,0.37,797.03,2,69.28,4,60.18,1.9,7.97,387.13,70.89,Medium Impact
24-06-2020,Manipur,Real Estate,63706.97,45276.2,28.93,5,9.45279305,1,0.24,797.03,7,52.05,1,93,1.2,6.26,483.27,53.36,Low Impact
24-07-2020,Assam,Transport,87274.6,55477.18,36.43,7.42,13.90407841,1,0.73,797.03,3,49.4,5,85.67,2.37,3.41,444.43,99.25,Medium Impact
23-08-2020,Madhya Pradesh,Transport,80563.54,58495.73,27.39,6.19,11.39536167,1,0.42,797.03,7,32.69,4,46.04,2.02,3.6,397.47,46.43,High Impact
22-09-2020,Tripura,Real Estate,19470.44,13524.9,30.54,6.37,15.81419254,0,0.98,797.03,5,32.12,3,82.65,0.86,6.33,347.68,19.59,Medium Impact
22-10-2020,Odisha,Manufacturing,89363.34,79975.65,10.51,8.3,20.01219912,0,0.35,797.03,10,48.12,2,42.31,0.61,4.97,287.5,83.94,Medium Impact
21-11-2020,Arunachal Pradesh,Public Administration,54394.88,38602.51,29.03,4.97,11.35033657,0,0.92,797.03,8,64.48,5,25.23,1.96,4.32,61.18,29.1,Medium Impact
21-12-2020,Goa,Services,80936.58,70910.67,12.39,5.23,15.840334,0,0.93,797.03,5,66.16,3,98.34,1.46,5.8,83.61,74.2,High Impact
20-01-2021,Goa,Mining,89713.04,81832.22,8.78,9.47,17.12863074,1,0.24,797.03,3,62.11,5,30.39,0.67,7,410.32,26.11,Medium Impact
19-02-2021,Uttar Pradesh,Transport,32482.34,24421.4,24.82,3.39,6.962356651,1,0.8,797.03,9,56.64,4,32.37,1.11,5.31,401.85,11.52,Low Impact
21-03-2021,Madhya Pradesh,Finance,11895.14,10925.45,8.15,6.4,15.30622742,0,0.43,797.03,7,46.4,5,98.97,1.05,7.82,307.62,24.38,Low Impact
20-04-2021,Arunachal Pradesh,Transport,23565.58,17251.45,26.79,9.39,16.52434497,0,0.92,797.03,5,56.05,5,13.39,0.5,7.43,219.98,43.93,High Impact
20-05-2021,Uttar Pradesh,Trade,43283.67,40575.3,6.26,7.27,15.77606523,1,0.45,797.03,7,39.02,5,76.05,1.73,7.41,13.99,19.6,High Impact
19-06-2021,Nagaland,Construction,81983.46,51752.17,36.87,6.82,17.71687413,1,0.74,797.03,10,37.49,1,93.58,2.34,8.91,164.26,27.79,Medium Impact
19-07-2021,Odisha,Manufacturing,86212.33,72457.73,15.95,4.75,11.15434571,0,0.47,797.03,9,49.5,3,51.18,1.81,4.77,210.9,78.82,Medium Impact
18-08-2021,Kerala,Agriculture,1688.26,1304.75,22.72,5.4,16.41177623,0,0.23,797.03,5,94.7,4,0.25,2.51,6.87,243.42,79.29,High Impact
17-09-2021,Bihar,Services,51563.98,37934.44,26.43,8.96,18.46669014,0,0.2,797.03,7,51.22,2,37.51,0.56,8.13,464.73,83.57,Low Impact
17-10-2021,Tamil Nadu,Real Estate,42323.69,34766.76,17.86,6.91,13.79604926,0,0.43,797.03,9,90.87,4,11.16,1.42,6.48,55.25,85.7,Low Impact
16-11-2021,West Bengal,Mining,22988.67,19456.46,15.37,6.6,14.63222136,1,0.76,797.03,1,55.5,4,41.62,1.91,7.74,259.91,47.84,High Impact
16-12-2021,Jharkhand,Finance,12866.67,7739.65,39.85,3.7,8.955811325,1,0.61,797.03,4,58.54,1,79,2.09,5.49,184.59,88.08,High Impact
15-01-2022,Manipur,Mining,34423.9,22665.85,34.16,3.11,14.945973,1,0.69,797.03,1,81.81,1,43.87,2.15,6.54,495.06,57.33,Low Impact
14-02-2022,Odisha,Manufacturing,94348.06,80154.92,15.04,9.75,18.42351163,0,0.28,797.03,8,36.09,5,43.19,2.24,3.33,431.07,52.35,Low Impact
16-03-2022,West Bengal,Trade,32997.09,27494.33,16.68,5.64,8.078468525,1,0.48,797.03,3,41.85,4,55.68,2.02,8.91,219.95,74.67,Low Impact
15-04-2022,Himachal Pradesh,Trade,52360.27,49120.04,6.19,7.22,12.48621906,1,0.04,797.03,2,93.3,3,58.17,0.46,7.8,499.85,29.24,Medium Impact
15-05-2022,Delhi,Real Estate,70598.88,61164.27,13.36,3.56,11.79314434,0,0.82,797.03,4,62.88,1,85.63,2.15,8.21,257.52,81.05,Low Impact
14-06-2022,Kerala,Construction,36999.33,34511.88,6.72,7.78,10.34333278,0,0.99,797.03,3,32.88,1,30.84,2.23,7.17,84.39,48.65,Low Impact
14-07-2022,Himachal Pradesh,Public Administration,97206.43,82225.87,15.41,9.53,11.76884191,0,0.41,797.03,5,33.08,3,82.17,2.98,4.12,278.38,21.46,High Impact
13-08-2022,Haryana,Trade,96282.28,67813.37,29.57,7.03,13.5302424,0,0.01,797.03,8,88.97,1,56.59,2.14,3.19,113.88,20.74,Low Impact
12-09-2022,Gujarat,Real Estate,25926.45,16511.98,36.31,3.88,9.206901797,0,0.17,797.03,10,86.77,3,30.05,2.12,8.19,318.52,24.84,Low Impact
12-10-2022,Bihar,Construction,50227.6,43880.76,12.64,7.07,13.45298608,0,0.65,797.03,8,59.8,2,29.51,1.64,5.38,468.78,90.15,Medium Impact
11-11-2022,Gujarat,Manufacturing,30786.95,25413.16,17.45,8.36,12.9869331,1,0.61,797.03,7,40.61,3,36.11,2.63,4.58,393.31,99.18,Medium Impact
01-01-2019,Madhya Pradesh,Services,29199.21,18011.97,38.31,5.84,9.487177469,1,0.79,797.03,8,83.97,2,62.27,2.99,6.37,137.31,42.13,Medium Impact
31-01-2019,Meghalaya,Manufacturing,4651.81,3377.3,27.4,9.16,18.05143357,1,0.25,797.03,5,51.1,5,23.08,2.38,5.53,149.13,36.29,High Impact
02-03-2019,Assam,Real Estate,61346.87,57351.96,6.51,7.54,14.68571116,1,0.76,797.03,10,57.24,5,92.03,1.92,6.91,35.57,29.69,High Impact
01-04-2019,Assam,Services,50765.22,39350.17,22.49,9.29,13.29154211,1,0.69,797.03,10,74.36,1,57.49,0.42,5.9,143.65,84.14,Medium Impact
01-05-2019,Bihar,Real Estate,6096.4,4581.17,24.85,7.36,12.55589426,1,0.32,797.03,6,52.97,3,92,2.23,7.18,47.22,28.83,Medium Impact
31-05-2019,Meghalaya,Manufacturing,28586,21730.93,23.98,3.92,11.83807908,0,0.55,797.03,8,70.86,1,4.64,2.18,8.12,250.22,93.17,Low Impact
30-06-2019,Jharkhand,Transport,90918.32,61197.94,32.69,5.17,7.892293483,0,0.15,797.03,1,87.54,3,34.26,2.37,4.17,354.47,70.06,Low Impact
30-07-2019,Punjab,Transport,24716.63,18019.6,27.1,4.41,7.884530093,0,0.45,797.03,6,81.83,1,2.28,0.55,4.98,375.84,90.74,Low Impact
29-08-2019,Jharkhand,Manufacturing,15344.59,11192.88,27.06,9.36,12.09245604,1,0.88,797.03,6,54.8,5,27.23,2.03,5.62,30.71,59.86,Medium Impact
28-09-2019,Kerala,Mining,49455.82,30579.73,38.17,8.32,18.44317333,1,0.42,797.03,5,48.72,5,86.2,1.03,8.77,170.64,72.16,Low Impact
28-10-2019,Telangana,Mining,98579.39,85630.86,13.14,7.73,17.25409233,0,0.84,797.03,4,48.56,1,3.66,2.33,5.19,144.8,65.75,Low Impact
27-11-2019,Madhya Pradesh,Trade,24963.47,18617.17,25.42,5.11,14.64312932,0,0.59,797.03,1,52.66,3,43.61,0.87,5.29,53.05,84.81,Medium Impact
27-12-2019,Gujarat,Trade,67541.42,59960.77,11.22,4.29,13.45325343,0,0.19,797.03,10,62.08,4,11.76,2.12,6.92,181.87,85.23,Low Impact
26-01-2020,Chhattisgarh,Services,76400.34,68578.61,10.24,8.3,16.99385424,0,0.58,797.03,8,57.08,3,41.68,1.03,5.52,150.36,63.08,Medium Impact
